Hand,Win %,Tie %,Loss %
2h 2d,48.0,2.2,49.8
2h 2c,49.2,1.0,49.8
2h 2s,50.4,2.0,47.6
2h 3h,34.8,4.8,60.4
2h 3d,28.2,6.4,65.4
2h 3c,30.8,6.2,63.0
2h 3s,33.4,5.8,60.8
2h 4h,31.8,5.8,62.4
2h 4d,31.2,8.6,60.2
2h 4c,31.0,6.8,62.2
2h 4s,29.8,4.6,65.6
2h 5h,34.6,6.0,59.4
2h 5d,27.2,9.8,63.0
2h 5c,31.6,5.6,62.8
2h 5s,32.8,4.6,62.6
2h 6h,34.4,5.4,60.2
2h 6d,32.4,5.8,61.8
2h 6c,32.6,3.4,64.0
2h 6s,33.4,5.8,60.8
2h 7h,34.6,5.0,60.4
2h 7d,33.6,5.4,61.0
2h 7c,31.6,7.6,60.8
2h 7s,31.4,5.6,63.0
2h 8h,40.6,5.0,54.4
2h 8d,34.6,6.6,58.8
2h 8c,37.2,3.6,59.2
2h 8s,33.4,6.0,60.6
2h 9h,36.4,4.8,58.8
2h 9d,38.6,7.2,54.2
2h 9c,37.6,4.0,58.4
2h 9s,36.6,5.8,57.6
2h Th,47.4,2.2,50.4
2h Td,38.6,3.4,58.0
2h Tc,38.8,5.4,55.8
2h Ts,39.4,4.6,56.0
2h Jh,44.6,3.6,51.8
2h Jd,42.0,4.2,53.8
2h Jc,45.8,3.8,50.4
2h Js,44.6,4.2,51.2
2h Qh,45.0,5.2,49.8
2h Qd,46.2,5.6,48.2
2h Qc,43.2,6.0,50.8
2h Qs,46.2,2.6,51.2
2h Kh,47.2,4.0,48.8
2h Kd,46.6,3.6,49.8
2h Kc,50.4,5.4,44.2
2h Ks,52.2,3.6,44.2
2h Ah,54.8,4.2,41.0
2h Ad,51.6,3.4,45.0
2h Ac,51.8,4.2,44.0
2h As,51.0,3.8,45.2
2d 2c,48.4,1.6,50.0
2d 2s,45.0,3.2,51.8
2d 3h,26.4,6.0,67.6
2d 3d,32.6,5.2,62.2
2d 3c,27.8,7.0,65.2
2d 3s,28.4,6.8,64.8
2d 4h,29.8,6.2,64.0
2d 4d,36.6,6.0,57.4
2d 4c,29.4,5.4,65.2
2d 4s,31.0,7.6,61.4
2d 5h,27.4,7.2,65.4
2d 5d,35.4,5.2,59.4
2d 5c,34.8,6.2,59.0
2d 5s,33.4,8.2,58.4
2d 6h,31.8,5.6,62.6
2d 6d,34.8,5.0,60.2
2d 6c,30.4,6.6,63.0
2d 6s,32.4,5.0,62.6
2d 7h,31.8,6.8,61.4
2d 7d,33.2,6.6,60.2
2d 7c,30.8,5.0,64.2
2d 7s,32.8,5.8,61.4
2d 8h,32.6,4.8,62.6
2d 8d,39.8,5.8,54.4
2d 8c,31.6,5.4,63.0
2d 8s,35.0,6.0,59.0
2d 9h,32.4,7.2,60.4
2d 9d,37.4,3.4,59.2
2d 9c,38.0,5.2,56.8
2d 9s,38.0,4.6,57.4
2d Th,40.2,4.6,55.2
2d Td,42.0,4.2,53.8
2d Tc,38.4,5.6,56.0
2d Ts,38.2,2.8,59.0
2d Jh,42.4,4.0,53.6
2d Jd,43.6,3.8,52.6
2d Jc,41.6,4.6,53.8
2d Js,45.8,4.0,50.2
2d Qh,46.6,4.0,49.4
2d Qd,48.0,2.0,50.0
2d Qc,42.8,4.0,53.2
2d Qs,46.8,5.0,48.2
2d Kh,45.4,3.8,50.8
2d Kd,51.8,6.0,42.2
2d Kc,50.2,4.0,45.8
2d Ks,49.6,4.8,45.6
2d Ah,55.0,4.2,40.8
2d Ad,55.6,4.2,40.2
2d Ac,50.6,4.4,45.0
2d As,54.4,3.6,42.0
2c 2s,50.0,2.6,47.4
2c 3h,29.8,7.2,63.0
2c 3d,31.8,5.8,62.4
2c 3c,31.0,5.6,63.4
2c 3s,28.2,7.4,64.4
2c 4h,30.0,6.4,63.6
2c 4d,32.8,5.6,61.6
2c 4c,32.2,6.0,61.8
2c 4s,32.6,5.4,62.0
2c 5h,32.2,6.2,61.6
2c 5d,30.4,5.8,63.8
2c 5c,35.4,5.2,59.4
2c 5s,35.2,6.6,58.2
2c 6h,30.2,4.6,65.2
2c 6d,31.6,5.4,63.0
2c 6c,34.2,4.4,61.4
2c 6s,32.8,5.8,61.4
2c 7h,29.6,8.6,61.8
2c 7d,35.0,4.6,60.4
2c 7c,35.4,5.6,59.0
2c 7s,29.8,5.6,64.6
2c 8h,33.6,5.6,60.8
2c 8d,34.6,3.2,62.2
2c 8c,35.2,4.0,60.8
2c 8s,32.6,5.8,61.6
2c 9h,34.4,3.4,62.2
2c 9d,36.4,4.4,59.2
2c 9c,44.2,4.6,51.2
2c 9s,39.4,6.0,54.6
2c Th,38.2,5.2,56.6
2c Td,43.6,5.8,50.6
2c Tc,41.4,3.8,54.8
2c Ts,39.6,5.0,55.4
2c Jh,41.2,4.4,54.4
2c Jd,42.0,5.0,53.0
2c Jc,44.4,4.2,51.4
2c Js,41.2,3.4,55.4
2c Qh,44.0,2.8,53.2
2c Qd,45.2,5.0,49.8
2c Qc,49.0,4.2,46.8
2c Qs,46.4,6.8,46.8
2c Kh,48.0,4.4,47.6
2c Kd,52.8,4.2,43.0
2c Kc,54.8,3.8,41.4
2c Ks,46.6,5.2,48.2
2c Ah,55.4,3.0,41.6
2c Ad,56.6,4.0,39.4
2c Ac,57.2,4.6,38.2
2c As,55.0,2.4,42.6
2s 3h,28.2,6.4,65.4
2s 3d,27.4,4.0,68.6
2s 3c,27.8,6.0,66.2
2s 3s,35.0,5.6,59.4
2s 4h,28.2,7.0,64.8
2s 4d,29.6,4.6,65.8
2s 4c,33.8,6.8,59.4
2s 4s,32.8,5.8,61.4
2s 5h,30.6,5.0,64.4
2s 5d,30.8,3.8,65.4
2s 5c,28.8,6.8,64.4
2s 5s,35.8,6.6,57.6
2s 6h,33.2,5.8,61.0
2s 6d,30.8,6.4,62.8
2s 6c,34.0,5.6,60.4
2s 6s,32.0,6.6,61.4
2s 7h,33.2,5.8,61.0
2s 7d,32.6,6.0,61.4
2s 7c,31.4,4.6,64.0
2s 7s,35.8,5.6,58.6
2s 8h,34.6,5.2,60.2
2s 8d,35.0,6.0,59.0
2s 8c,36.0,5.6,58.4
2s 8s,40.8,4.4,54.8
2s 9h,32.6,6.4,61.0
2s 9d,37.4,4.2,58.4
2s 9c,36.8,5.4,57.8
2s 9s,39.2,4.0,56.8
2s Th,40.6,4.8,54.6
2s Td,41.6,4.4,54.0
2s Tc,36.2,5.2,58.6
2s Ts,41.6,5.0,53.4
2s Jh,40.6,5.4,54.0
2s Jd,41.0,5.0,54.0
2s Jc,43.8,5.0,51.2
2s Js,45.0,3.0,52.0
2s Qh,44.2,3.8,52.0
2s Qd,46.6,4.8,48.6
2s Qc,40.8,6.4,52.8
2s Qs,46.0,4.2,49.8
2s Kh,45.6,3.0,51.4
2s Kd,45.8,4.4,49.8
2s Kc,48.4,3.0,48.6
2s Ks,49.6,3.6,46.8
2s Ah,51.0,4.8,44.2
2s Ad,57.4,2.6,40.0
2s Ac,57.2,4.4,38.4
2s As,55.6,1.4,43.0
3h 3d,54.8,2.0,43.2
3h 3c,54.0,2.0,44.0
3h 3s,58.4,1.2,40.4
3h 4h,32.8,5.0,62.2
3h 4d,31.6,7.2,61.2
3h 4c,37.2,5.8,57.0
3h 4s,32.8,7.2,60.0
3h 5h,35.6,5.8,58.6
3h 5d,33.8,3.8,62.4
3h 5c,33.2,4.6,62.2
3h 5s,33.0,5.0,62.0
3h 6h,35.8,6.4,57.8
3h 6d,30.0,5.8,64.2
